Archivo,Parametro_Analizado,Ancho_Pulso,Tipo_Variable_X,Grupo,Valor_X,Valor_Y
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,150 ns,Dens,P30,0.1527887453682195,3.7885
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,150 ns,Dens,P50,0.2546479089470325,3.484333333333333
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,150 ns,Dens,P70,0.3565070725258455,4.32
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,150 ns,Dens,P30,0.305577490736439,3.494
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,150 ns,Dens,P50,0.5092958178940651,16.06475
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,150 ns,Dens,P70,0.713014145051691,19.5
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,150 ns,Dens,P30,0.305577490736439,2.2825
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,150 ns,Dens,P50,0.5092958178940651,1.93425
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,150 ns,Dens,P70,0.713014145051691,2.7955
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,150 ns,Dens,P30,0.305577490736439,1.99325
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,150 ns,Dens,P50,0.5092958178940651,1.845
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,150 ns,Dens,P70,0.713014145051691,0.92725
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,200 ns,Solap,P30,80.0,1.7275
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,200 ns,Solap,P50,80.0,1.519
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,200 ns,Solap,P70,80.0,3.3775
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,200 ns,Solap,P30,88.0,3.1575
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,200 ns,Solap,P50,88.0,2.16625
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,200 ns,Solap,P70,88.0,4.817
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,200 ns,Solap,P30,90.0,3.3965
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,200 ns,Solap,P50,90.0,4.497
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,200 ns,Solap,P70,90.0,5.24975
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,200 ns,Solap,P30,93.33333333333333,7.754
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,200 ns,Solap,P50,93.33333333333333,6.3355
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,200 ns,Solap,P70,93.33333333333333,7.1465
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,200 ns,Solap,P30,94.0,6.142333333333333
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,200 ns,Solap,P50,94.0,9.92675
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,200 ns,Solap,P70,94.0,0.01124999999999954
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,200 ns,Solap,P30,96.0,13.798
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,200 ns,Solap,P50,96.0,20.0
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,200 ns,Solap,P70,96.0,23.061
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,200 ns,Solap,P30,96.0,13.02025
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,200 ns,Solap,P50,96.0,11.52575
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,200 ns,Solap,P70,96.0,11.3875
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,200 ns,Solap,P30,98.0,13.10425
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,200 ns,Solap,P50,98.0,19.6205
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,200 ns,Solap,P70,98.0,21.40325
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,200 ns,Solap,P30,98.66666666666667,15.2115
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,200 ns,Solap,P50,98.66666666666667,23.3956
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,200 ns,Solap,P70,98.66666666666667,17.64375
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,200 ns,Dens,P30,0.101859163578813,15.2115
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,200 ns,Dens,P50,0.169765272631355,23.3956
